edad,genero,ocupacion,estadoCivil,realizaPractica,jornadaCLases,anioAcademico,expAnsiedad,periodoAnsiedad,c_cantidadEvaluaciones,c_multitudTareas,c_exposicionesConferencias,c_intervencionAula,c_ambienteDesagradable,c_trabajosPlazo,c_trabajosGrupo,influenciaEnRendimiento,e_cansancio,e_dificultadDormir,e_noConsideracion,e_irritabilidadExcesiva,e_escasaConfianzaPropia,e_sensacionDeInutilidad,e_faltaDeEntusiasmo,e_noControl,e_preocupacionExcesiva,e_dificultadConsentracion,e_olvidosFrecuentes,e_aislamiento,e_escasoDesempeno,e_dificultadAceptarResp,e_mantenerRespon,e_abandonarClases
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Ambas,Casado,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
23 - 26 años,Hombre,Ambas,Soltero,No,Mixta Vespertina - Nocturna,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,No,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
23 - 26 años,Mujer,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Disminuye,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Mujer,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Disminuye,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
27 - 30 años,Hombre,Trabajo,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo
19 - 22 años,Mujer,Estudio,Otro,No,Matutina,3er año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,1er año,Sí,En los examenes y proyectos finales,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
mayor de 30 años,Hombre,Trabajo,Casado,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,Sí,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
menor de 18 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
menor de 18 años,Hombre,Estudio,Otro,No,Matutina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
mayor de 30 años,Mujer,Estudio,Soltero,No,Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Se mantiene,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo
menor de 18 años,Hombre,Estudio,Soltero,No,Matutina,1er año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
mayor de 30 años,Mujer,Ambas,Otro,No,Nocturna,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Hombre,Estudio,Otro,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
23 - 26 años,Hombre,Ambas,Otro,No,Mixta Vespertina - Nocturna,3er año,No,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo
mayor de 30 años,Hombre,Ambas,Casado,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
mayor de 30 años,Mujer,Trabajo,Casado,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Aumenta,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo
mayor de 30 años,Hombre,Trabajo,Casado,No,Nocturna,3er año,Sí,En los examenes y proyectos finales,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
19 - 22 años,Hombre,Ambas,Soltero,No,Nocturna,1er año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo
menor de 18 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,1er año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo
menor de 18 años,Mujer,Estudio,Soltero,No,Matutina,1er año,Sí,Al final de cada parcial,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumenta,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
23 - 26 años,Hombre,Ambas,Soltero,No,Matutina,3er año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Matutina,1er año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Aumenta,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Ambas,Soltero,No,Matutina,1er año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Disminuye,De acuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Se mantiene,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Ambas,Casado,No,Mixta Matutina - Vespertina,3er año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Mujer,Ambas,Otro,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Disminuye,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,Sí,Matutina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Disminuye,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Matutina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Hombre,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Se mantiene,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
