Marca temporal,¿En qué rango de edad te encuentras?,¿Cuál es tu género?,¿Cuál es tu ocupación actual?,¿Cuál es tu estado civil?,¿Estas actualmente realizando práctica profesional?,¿En qué jornada matriculas tus clases regularmente?,¿En qué año académico se encuentra actualmente?,"¿Ha experimentado durante su vida estudiantil el trastorno de ansiedad (miedo, nervios o estrés)?","Basándose en un periodo académico normal en la UNAH, ¿En qué momento experimenta el mayor foco de trastorno de ansiedad?",Tener varias evaluaciones en una misma semana.,Atender muchas tareas simultaneas.,Realizar exposiciones o conferencias frente a muchas personas.,Participar en clase frente a los demás compañeros.,Desarrollar su jornada académica en ambientes físicos desagradables.,Tener un tiempo limitado y corto para realizar sus tareas.,Los trabajos grupales.,¿De qué forma considera que influye el trastorno de ansiedad en su promedio de calificaciones?,Cansancio/fatiga difusa.,Dificultad para dormir o sueño irregular.,Sensación de no haber sido tomado en consideración.,Irritabilidad excesiva.,Escasa confianza en usted mismo.,Sensación de inutilidad.,Falta de entusiasmo.,Sensación de no tener control sobre la situación.,Preocupación excesiva.,Dificultad de concentración.,Olvidos frecuentes.,El querer aislarse de los demás.,Escaso desempeño en ejecutar sus propias obligaciones.,Dificultad para aceptar responsabilidades.,Dificultad para mantener responsabilidades contraídas.,Cancelar/abandonar asignaturas matriculadas.
2020/04/14 8:42:14 p.m. GMT-5,19 - 22 años,Hombre,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Se mantiene,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
2020/04/14 9:23:35 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
2020/04/14 9:24:02 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
2020/04/14 10:53:05 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,Sí,Matutina,ultimo año,Sí,Al iniciar el periodo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/14 11:05:41 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/14 11:12:31 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,3er año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Se mantiene,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
2020/04/14 11:32:39 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
2020/04/14 11:33:06 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Muy de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/14 11:33:24 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,No,Matutina,2do año,Sí,Al final de cada parcial,En desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/14 11:33:38 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,No,Nocturna,3er año,Sí,Al final de cada parcial,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/15 1:28:47 p.m. GMT-5,19 - 22 años,Hombre,Ambas,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
